Date,vic
2020-04-01,6
2020-04-02,6
2020-04-03,7
2020-04-04,10
2020-04-05,11
2020-04-06,11
2020-04-07,13
2020-04-08,12
2020-04-09,13
2020-04-10,13
2020-04-11,15
2020-04-12,16
2020-04-13,14
2020-04-14,15
2020-04-15,18
2020-04-16,18
2020-04-17,13
2020-04-18,12
2020-04-19,10
2020-04-20,11
2020-04-21,12
2020-04-22,12
2020-04-23,10
2020-04-24,11
2020-04-25,11
2020-04-26,10
2020-04-27,11
2020-04-28,11
2020-04-29,9
2020-04-30,9
2020-05-01,7
2020-05-02,7
2020-05-03,7
2020-05-04,6
2020-05-05,6
2020-05-06,6
2020-05-07,6
2020-05-08,6
2020-05-09,6
2020-05-10,5
2020-05-11,5
2020-05-12,4
2020-05-13,6
2020-05-14,6
2020-05-15,7
2020-05-16,7
2020-05-17,7
2020-05-18,5
2020-05-19,5
2020-05-20,5
2020-05-21,5
2020-05-22,5
2020-05-23,3
2020-05-24,3
2020-05-25,3
2020-05-26,3
2020-05-27,4
2020-05-28,3
2020-05-29,2
2020-05-30,2
2020-05-31,2
2020-06-01,1
2020-06-02,2
2020-06-03,2
2020-06-04,2
2020-06-05,1
2020-06-06,3
2020-06-07,2
2020-06-08,2
2020-06-09,1
2020-06-10,2
2020-06-11,1
2020-06-12,1
2020-06-13,1
2020-06-14,2
2020-06-15,3
2020-06-16,2
2020-06-17,2
2020-06-18,2
2020-06-19,2
2020-06-20,3
2020-06-21,2
2020-06-22,2
2020-06-23,3
2020-06-24,2
2020-06-25,2
2020-06-26,1
2020-06-27,1
2020-06-28,1
2020-06-29,1
2020-06-30,1
2020-07-01,2
2020-07-02,4
2020-07-03,6
2020-07-04,3
2020-07-05,3
2020-07-06,5
2020-07-07,9
2020-07-08,7
2020-07-09,9
2020-07-10,12
2020-07-11,15
2020-07-12,16
2020-07-13,17
2020-07-14,26
2020-07-15,27
2020-07-16,29
2020-07-17,31
2020-07-18,25
2020-07-19,28
2020-07-20,31
2020-07-21,36
2020-07-22,40
2020-07-23,40
2020-07-24,41
2020-07-25,42
2020-07-26,42
2020-07-27,44
2020-07-28,42
2020-07-29,41
2020-07-30,34
2020-07-31,36
2020-08-01,41
2020-08-02,38
2020-08-03,35
2020-08-04,38
2020-08-05,42
2020-08-06,42
2020-08-07,41
2020-08-08,44
2020-08-09,43
2020-08-10,48
2020-08-11,43
2020-08-12,43
2020-08-13,37
2020-08-14,41
2020-08-15,41
2020-08-16,40
2020-08-17,44
2020-08-18,45
2020-08-19,44
2020-08-20,43
2020-08-21,40
2020-08-22,36
2020-08-23,32
2020-08-24,31
2020-08-25,35
2020-08-26,39
2020-08-27,29
2020-08-28,29
2020-08-29,26
2020-08-30,25
2020-08-31,21
2020-09-01,20
2020-09-02,18
2020-09-03,20
2020-09-04,20
2020-09-05,21
2020-09-06,19
2020-09-07,25
2020-09-08,22
2020-09-09,20
2020-09-10,17
2020-09-11,12
2020-09-12,9
2020-09-13,11
