Date,vic,nsw
2020-04-01,6,42
2020-04-02,6,43
2020-04-03,7,42
2020-04-04,10,41
2020-04-05,11,39
2020-04-06,11,40
2020-04-07,13,37
2020-04-08,12,36
2020-04-09,13,31
2020-04-10,13,29
2020-04-11,15,30
2020-04-12,16,30
2020-04-13,14,30
2020-04-14,15,32
2020-04-15,18,29
2020-04-16,18,26
2020-04-17,13,26
2020-04-18,12,25
2020-04-19,10,21
2020-04-20,11,22
2020-04-21,12,21
2020-04-22,12,20
2020-04-23,10,21
2020-04-24,11,19
2020-04-25,11,19
2020-04-26,10,19
2020-04-27,11,19
2020-04-28,11,19
2020-04-29,9,17
2020-04-30,9,15
2020-05-01,7,14
2020-05-02,7,14
2020-05-03,7,14
2020-05-04,6,14
2020-05-05,6,13
2020-05-06,6,13
2020-05-07,6,10
2020-05-08,6,10
2020-05-09,6,8
2020-05-10,5,8
2020-05-11,5,7
2020-05-12,4,8
2020-05-13,6,7
2020-05-14,6,8
2020-05-15,7,7
2020-05-16,7,6
2020-05-17,7,7
2020-05-18,5,6
2020-05-19,5,5
2020-05-20,5,3
2020-05-21,5,3
2020-05-22,5,1
2020-05-23,3,1
2020-05-24,3,1
2020-05-25,3,1
2020-05-26,3,1
2020-05-27,4,1
2020-05-28,3,1
2020-05-29,2,1
2020-05-30,2,1
2020-05-31,2,1
2020-06-01,1,1
2020-06-02,2,1
2020-06-03,2,2
2020-06-04,2,1
2020-06-05,1,0
2020-06-06,3,0
2020-06-07,2,0
2020-06-08,2,0
2020-06-09,1,0
2020-06-10,2,0
2020-06-11,1,0
2020-06-12,1,0
2020-06-13,1,0
2020-06-14,2,0
2020-06-15,3,0
2020-06-16,2,0
2020-06-17,2,0
2020-06-18,2,0
2020-06-19,2,0
2020-06-20,3,0
2020-06-21,2,0
2020-06-22,2,0
2020-06-23,3,0
2020-06-24,2,0
2020-06-25,2,0
2020-06-26,1,0
2020-06-27,1,0
2020-06-28,1,0
2020-06-29,1,0
2020-06-30,1,0
2020-07-01,2,1
2020-07-02,4,1
2020-07-03,6,1
2020-07-04,3,1
2020-07-05,3,1
2020-07-06,5,1
2020-07-07,9,1
2020-07-08,7,1
2020-07-09,9,1
2020-07-10,12,1
2020-07-11,15,1
2020-07-12,16,1
2020-07-13,17,1
2020-07-14,26,1
2020-07-15,27,1
2020-07-16,29,1
2020-07-17,31,1
2020-07-18,25,1
2020-07-19,28,1
2020-07-20,31,2
2020-07-21,36,2
2020-07-22,40,2
2020-07-23,40,1
2020-07-24,41,3
2020-07-25,42,4
2020-07-26,42,4
2020-07-27,44,4
